train/reward,train/ent_coef,time/fps,train/ent_coef_loss,train/critic_loss,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss
2.7550442,0.12085092067718506,63,19.898704528808594,1574.03466796875,4,31,1996,0.0001,1895,27006.765625
2.788644,0.1475452333688736,62,17.943445205688477,12137.1865234375,8,63,3992,0.0001,3891,23444.001953125
2.788644,0.1801423579454422,62,16.288114547729492,1014.1787719726562,12,95,5988,0.0001,5887,21082.0859375
2.788644,0.21993803977966309,61,14.168996810913086,777.1915893554688,16,129,7984,0.0001,7883,17213.03515625
2.788644,0.268521249294281,61,12.357330322265625,2917.48388671875,20,161,9980,0.0001,9879,14716.71875
2.788644,0.3278426229953766,61,10.49908447265625,4167.099609375,24,193,11976,0.0001,11875,14279.3759765625
2.788644,0.400260865688324,62,8.503752708435059,1193.9920654296875,28,225,13972,0.0001,13871,11498.0654296875
2.788644,0.48867347836494446,62,6.743140697479248,924.312744140625,32,257,15968,0.0001,15867,11094.3203125
2.788644,0.5966336727142334,62,4.844646453857422,2340.56884765625,36,289,17964,0.0001,17863,7982.6748046875
2.788644,0.7284460663795471,62,2.971984386444092,14343.3291015625,40,321,19960,0.0001,19859,7681.89306640625
2.788644,0.8893523812294006,62,1.097488284111023,10918.6982421875,44,353,21956,0.0001,21855,7353.5126953125
2.788644,1.0858341455459595,62,-0.7627697587013245,112.03172302246094,48,385,23952,0.0001,23851,5719.87158203125
2.788644,1.3256763219833374,62,-2.649808645248413,48.639564514160156,52,417,25948,0.0001,25847,5405.71240234375
2.788644,1.618544578552246,62,-4.516880512237549,1152.430419921875,56,449,27944,0.0001,27843,5110.79150390625
2.788644,1.9760695695877075,62,-6.451111793518066,884.6991577148438,60,482,29940,0.0001,29839,4877.904296875
2.788644,2.4125936031341553,62,-8.29293441772461,24882.5234375,64,514,31936,0.0001,31835,4397.2626953125
2.788644,2.9456300735473633,62,-10.158927917480469,654.7718505859375,68,546,33932,0.0001,33831,3560.14599609375
2.788644,3.5962941646575928,62,-11.992348670959473,240.56576538085938,72,578,35928,0.0001,35827,3424.494140625
2.788644,4.390696048736572,62,-13.913070678710938,3445.60888671875,76,611,37924,0.0001,37823,3609.16259765625
2.788644,5.36057710647583,61,-15.779108047485352,151027.765625,80,646,39920,0.0001,39819,4258.39501953125
2.788644,6.544968128204346,61,-17.726398468017578,18859.45703125,84,679,41916,0.0001,41815,4029.15625
2.788644,7.990882396697998,60,-19.163339614868164,1024.3778076171875,88,721,43912,0.0001,43811,3992.14404296875
2.788644,9.75593090057373,60,-21.33147430419922,4613.0556640625,92,755,45908,0.0001,45807,4406.77001953125
2.788644,11.910934448242188,60,-23.311100006103516,1584.839599609375,96,790,47904,0.0001,47803,5185.3515625
2.788644,14.542611122131348,60,-25.2866153717041,14389.87890625,100,826,49900,0.0001,49799,5771.33544921875
2.788644,17.755027770996094,60,-27.249675750732422,10816.8369140625,104,861,51896,0.0001,51795,6646.943359375
2.788644,21.678037643432617,60,-28.761762619018555,1466.942138671875,108,896,53892,0.0001,53791,8148.732421875
2.788644,26.466230392456055,60,-31.054336547851562,3797.498046875,112,930,55888,0.0001,55787,9620.9833984375
2.788644,32.31195831298828,59,-32.72834396362305,625.2606201171875,116,978,57884,0.0001,57783,11386.78515625
2.788644,39.450077056884766,58,-34.68096160888672,5086.47998046875,120,1018,59880,0.0001,59779,13716.2431640625
2.788644,48.165367126464844,58,-36.63105010986328,1908.042236328125,124,1054,61876,0.0001,61775,16802.03515625
2.788644,58.80581283569336,58,-38.201541900634766,2013.189208984375,128,1091,63872,0.0001,63771,19957.53125
2.788644,71.80070495605469,58,-39.86712646484375,9567.3408203125,132,1125,65868,0.0001,65767,24756.458984375
2.788644,87.66524505615234,58,-42.02969741821289,18903.17578125,136,1161,67864,0.0001,67763,31086.076171875
2.788644,107.0333023071289,58,-43.7445068359375,15557.7568359375,140,1194,69860,0.0001,69759,35282.21484375
